User_ID,Video_ID,Action,Timestamp,Segment_Start,Segment_End,Duration,Engagement,Feedback,Metadata,Duration_Skipped
99578,Xdo545,play,2024-09-04 14:06:04,00:23:59,00:24:73,74,5,positive,"{'topic': 'tech', 'tags': ['blues', 'data science', 'jazz']}",0
48440,tbd246,skip,2020-10-20 14:04:47,00:05:58,00:12:94,456,3,neutral,"{'topic': 'food', 'tags': ['ML', 'pasta', 'rock']}",456
81698,Czz193,play,2022-10-11 17:59:34,00:33:14,00:40:63,469,5,positive,"{'topic': 'tech', 'tags': ['jazz', 'pasta', 'ML']}",0
69308,QTW714,pause,2020-05-01 18:31:23,00:06:48,00:12:59,371,4,positive,"{'topic': 'tech', 'tags': ['rock', 'jazz', 'pasta']}",0
40705,cwE159,play,2021-08-01 12:10:47,00:19:08,00:26:24,436,5,positive,"{'topic': 'tech', 'tags': ['AI', 'burger', 'jazz']}",0
11005,cXk595,skip,2021-03-29 20:27:14,00:48:31,00:49:86,115,3,neutral,"{'topic': 'music', 'tags': ['burger', 'AI', 'data science']}",115
76088,nYA701,play,2021-01-21 16:13:30,00:28:50,00:30:67,137,5,positive,"{'topic': 'politics', 'tags': ['pizza', 'burger', 'rock']}",0
44833,DIM856,skip,2021-07-05 16:15:04,00:52:06,00:52:24,18,3,neutral,"{'topic': 'tech', 'tags': ['rock', 'blues', 'deep learning']}",18
52479,AUl106,play,2022-11-20 22:29:15,00:58:33,00:67:52,559,5,positive,"{'topic': 'food', 'tags': ['pizza', 'AI', 'burger']}",0
12913,vWs159,play,2020-02-19 13:05:21,00:14:36,00:21:44,428,5,positive,"{'topic': 'tech', 'tags': ['blues', 'jazz', 'pasta']}",0
62473,YHJ251,pause,2023-05-12 03:19:04,00:24:40,00:32:76,516,4,positive,"{'topic': 'politics', 'tags': ['AI', 'deep learning', 'burger']}",0
64504,uPG153,play,2021-10-19 08:46:31,00:18:15,00:23:73,358,5,positive,"{'topic': 'politics', 'tags': ['jazz', 'AI', 'deep learning']}",0
52522,pVb146,play,2024-11-06 13:20:19,00:05:16,00:05:20,4,5,positive,"{'topic': 'food', 'tags': ['jazz', 'ML', 'deep learning']}",0
82375,Ubh560,pause,2020-11-16 04:37:48,00:50:25,00:58:73,528,4,positive,"{'topic': 'tech', 'tags': ['jazz', 'deep learning', 'pasta']}",0
50656,pbO105,play,2022-05-20 11:06:04,00:42:04,00:43:45,101,5,positive,"{'topic': 'music', 'tags': ['deep learning', 'pizza', 'blues']}",0
79305,bNo869,pause,2023-09-19 04:25:02,00:57:04,00:61:09,245,4,positive,"{'topic': 'food', 'tags': ['rock', 'blues', 'deep learning']}",0
22825,ViX574,pause,2023-06-13 07:00:15,00:03:37,00:11:42,485,4,positive,"{'topic': 'food', 'tags': ['pizza', 'pasta', 'data science']}",0
55715,BOL738,play,2022-08-01 17:01:34,00:12:29,00:18:78,409,5,positive,"{'topic': 'food', 'tags': ['ML', 'pasta', 'blues']}",0
32434,NPW343,pause,2021-10-21 04:34:41,00:22:11,00:30:41,510,4,positive,"{'topic': 'tech', 'tags': ['data science', 'deep learning', 'blues']}",0
71940,Etu660,skip,2023-01-03 03:46:27,00:34:47,00:40:71,384,3,neutral,"{'topic': 'music', 'tags': ['rock', 'jazz', 'data science']}",384
